"","Division_Name","District_Name","Tehsil_Name","Tehsil_Mean_RWI","Tehsil_Min_RWI","Tehsil_Max_RWI","Mean_LSI_Weighted","Mean_LSI_Unweighted","Mean_AI_Weighted","Mean_AI_Unweighted","Mean_LSI_Weighted_Transformed","Mean_AI_Weighted_Transformed","admin2Name","district","admin1Pcod","admin2Pcod"
"1","Hazara","Abbottabad","Abbottabad","2.69929245283019E-2","-0.79400000000000004","1.3759999999999999","1.14183802008753E-3","0.120724868457491","1.6534071504014901E-3","0.28878196769960601","6.2269753307322306E-5","1.08989887702981E-4","Abbottabad","Abbottabad","KP01","KP01001"
"2","F.A.T.A.","Bajaur","Bar Chamarkand","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Bar Chamarkand","Bajaur","KP02","KP02001"
"3","F.A.T.A.","Bajaur","Barang","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Barang","Bajaur","KP02","KP02002"
"4","F.A.T.A.","Bajaur","Khar","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Khar","Bajaur","KP02","KP02003"
"5","F.A.T.A.","Bajaur","Mamund","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mamund","Bajaur","KP02","KP02004"
"6","F.A.T.A.","Bajaur","Nawagai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nawagai","Bajaur","KP02","KP02005"
"7","F.A.T.A.","Bajaur","Salarzai Tehsil","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Salarzai Tehsil","Bajaur","KP02","KP02006"
"8","F.A.T.A.","Bajaur","Utman Khel Tehsil","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Utman Khel Tehsil","Bajaur","KP02","KP02007"
"9","F.A.T.A.","Bannu","Bannu","9.6768292682926794E-3","-0.748","1.173","9.1998500597618397E-4","0.120388830024537","1.3284999569865099E-3","0.28812086917817298","4.7521730068941101E-5","8.2906753236755895E-5","Bannu","Bannu","KP03","KP03001"
"10","F.A.T.A.","Bannu","Domel","-5.0699029126213602E-2","-0.69699999999999995","1.325","1.84782018123187E-3","0.11998210891199799","2.66383886247734E-3","0.28774833720605197","1.09201012547341E-4","1.9010605487060201E-4","Domel","Bannu","KP03","KP03002"
"11","Hazara","Batagram","Alai","-0.23176146788990801","-0.93","1.0229999999999999","9.1622833250257305E-3","0.12086920299916699","1.3231996817706201E-2","0.28913265354134798","5.9544129579547399E-4","1.03850427624969E-3","Alai","Batagram","KP04","KP04001"
"12","Hazara","Batagram","Batagram","-5.7880952380952401E-2","-0.72299999999999998","1.099","3.0678264434176399E-3","0.120130624767572","4.4325351300837697E-3","0.28813375997976698","1.9030282122800001E-4","3.3209473198482801E-4","Batagram","Batagram","KP04","KP04002"
"13","Mardan","Buner","Chagharzai","-0.20716176470588199","-0.88500000000000001","0.57399999999999995","15.0431034482759","0.34375","12.4568965542933","0.45833333581685998","1","1","Chagharzai","Buner","KP05","KP05001"
"14","Mardan","Buner","Chamla","-0.15331168831168801","-0.94199999999999995","0.86799999999999999","9.2207447716026406E-3","0.120361328125","1.32900210381411E-2","0.28803943970290502","5.9932761113862796E-4","1.0431623865488E-3","Chamla","Buner","KP05","KP05002"
"15","Mardan","Buner","Daggar","-0.13036923076923099","-0.79600000000000004","0.69199999999999995","9.1764057928915392E-3","0.12065489432703","1.3248748254622101E-2","0.288607717451284","5.9638010875279505E-4","1.0398490602077999E-3","Daggar","Buner","KP05","KP05003"
"16","Mardan","Buner","Gagra","-6.0020833333333301E-2","-0.85499999999999998","0.98299999999999998","9.2298869767852391E-3","0.121102449888641","1.32981544812676E-2","0.28878990865264798","5.9993535340899099E-4","1.0438153289737101E-3","Gagra","Buner","KP05","KP05004"
"17","Mardan","Buner","Pir Baba/ Gadaizi","-0.21922619047618999","-0.90800000000000003","0.96499999999999997","4.6177147128466604E-3","0.120073375262055","6.6573656321643601E-3","0.28774750110238401","2.93334048033697E-4","5.1070128279827396E-4","Pir Baba/ Gadaizi","Buner","KP05","KP05005"
"18","Mardan","Buner","Totalai","-0.248602941176471","-0.85399999999999998","0.77300000000000002","9.1971972504286004E-3","0.120651266351239","1.32615548870263E-2","0.28833844103572298","5.9776225314305497E-4","1.04087716029862E-3","Totalai","Buner","KP05","KP05006"
"19","Peshawar","Charsadda","Charsadda","0.33929870129870099","-0.59599999999999997","1.27","1.5360765666881399E-3","0.12045084824541","2.21552523744933E-3","0.28827950010085301","8.8477372212212305E-5","1.54116009708041E-4","Charsadda","Charsadda","KP06","KP06001"
"20","Peshawar","Charsadda","Tangi","9.7204819277108404E-2","-0.66400000000000003","1.22","0.54004134091932399","0.24431818181818199","1.1121457807912101","0.446969701146538","3.5886450117704E-2","8.9257899152988707E-2","Tangi","Charsadda","KP06","KP06002"
"21","Malakand","Chitral","Chitral","-0.29115306122448997","-0.98499999999999999","1.19","2.2970656604781501E-3","0.12054906460810901","3.3116914095588702E-3","0.28805898006515002","1.3906530262336599E-4","2.4211482981400999E-4","Chitral","Chitral","KP07","KP07001"
"22","Malakand","Chitral","Mastuj","-0.34280970149253698","-0.98099999999999998","0.88800000000000001","8.8628386947181594E-3","0.11946481934257","1.2850128285056999E-2","0.28669746059401102","5.7553524951490403E-4","1.0078483582294699E-3","Mastuj","Chitral","KP07","KP07002"
"23","Dera Ismail Khan","Dera Ismail Khan","Daraban","-0.447229299363057","-1.18","0.253","2.3075443787796699E-3","0.119900097806343","3.3276170546930098E-3","0.287760239910135","1.3976189167643E-4","2.4339332026270999E-4","Daraban","Dera Ismail Khan","KP08","KP08001"
"24","Dera Ismail Khan","Dera Ismail Khan","Dera Ismail Khan","-0.32091886792452801","-1.1559999999999999","1.242","1.83897534369526E-3","0.120764008680652","2.6528046477837298E-3","0.288316366722565","1.08613038252503E-4","1.89220242209585E-4","Dera Ismail Khan","Dera Ismail Khan","KP08","KP08002"
"25","Dera Ismail Khan","Dera Ismail Khan","Kulachi","-0.43751086956521701","-1.0269999999999999","0.441","6.0233441910966299","0.22222222222222199","8.9757510205347195","0.50000000662273802","0.40039751245967797","0.72053808320103097","Kulachi","Dera Ismail Khan","KP08","KP08003"
"26","Dera Ismail Khan","Dera Ismail Khan","Paharpur","-0.27736697247706399","-1.1020000000000001","0.82599999999999996","9.1069992872776801E-3","0.12168141592920401","1.32186554675257E-2","0.28991519691900602","5.9176620363282997E-4","1.03743324969881E-3","Paharpur","Dera Ismail Khan","KP08","KP08004"
"27","Bannu","FR Bannu","Wazir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Wazir","FR Bannu","KP09","KP09001"
"28","Dera Ismail Khan","FR Dera Ismail Khan","Drazanda","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Drazanda","FR Dera Ismail Khan","KP10","KP10001"
"29","Kohat","FR Kohat","Darra Adam Khel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Darra Adam Khel","FR Kohat","KP11","KP11001"
"30","Bannu","FR Lakki Marwat","Bettani","-0.10395454545454499","-0.67400000000000004","0.86199999999999999","1.47498835417637","0.44318181818181801","3.9888439313622199","0.43939394300634199","9.8038503058708606E-2","0.32019555212224698","Bettani","FR Lakki Marwat","KP12","KP12001"
"31","Peshawar","FR Peshawar","Hassan Khel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Hassan Khel","FR Peshawar","KP13","KP13001"
"32","Dera Ismail Khan","FR Tank","Jandola","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Jandola","FR Tank","KP14","KP14001"
"33","Kohat","Hangu","Hangu","-0.191949579831933","-0.92800000000000005","1.0980000000000001","3.0701554243004301E-3","0.120154768544339","4.4287570825669101E-3","0.28821962467909201","1.9045764384476201E-4","3.31791435156074E-4","Hangu","Hangu","KP15","KP15001"
"34","Kohat","Hangu","Tall","-0.24890163934426199","-0.88500000000000001","0.98399999999999999","1.0265052897604099E-3","0.119896532438479","1.4799894041307899E-3","0.287658469009753","5.4602831161487899E-5","9.5068132548020999E-5","Tall","Hangu","KP15","KP15002"
"35","Hazara","Haripur","Ghazi","-0.216192","-0.81899999999999995","1.014","9.1252407233734997E-3","0.120890883977901","1.31770733045652E-2","0.28885820040798299","5.9297883139234101E-4","1.0340950867714399E-3","Ghazi","Haripur","KP16","KP16001"
"36","Hazara","Haripur","Haripur","-1.2084967320261399E-2","-1.0549999999999999","1.476","2.2897113735516599E-3","0.122005677097757","3.3006278701054898E-3","0.28935890851634699","1.3857641499239099E-4","2.41226662998736E-4","Haripur","Haripur","KP16","KP16002"
"37","Kohat","Karak","Banda Daud Shah","-0.30631491712707198","-0.88500000000000001","0.82","0.39984870589506699","0.125","1.26528702899729","0.35483871496492803","2.6566927245907802E-2","0.101551882943563","Banda Daud Shah","Karak","KP17","KP17001"
"38","Kohat","Karak","Karak","-0.13030434782608699","-0.81699999999999995","0.58599999999999997","1.8452581502522701E-3","0.119885696719021","2.66327115633403E-3","0.28781697087414199","1.090306975639E-4","1.9006048014657799E-4","Karak","Karak","KP17","KP17002"
"39","Kohat","Karak","Takht E Nasrati","-0.204377622377622","-1.0880000000000001","0.71399999999999997","2.3000092888458001E-3","0.120277758416394","3.32415302830897E-3","0.28780697991563498","1.39260984885089E-4","2.4311523264938299E-4","Takht E Nasrati","Karak","KP17","KP17003"
"40","F.A.T.A.","Khyber","Bara","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Bara","Khyber","KP18","KP18001"
"41","F.A.T.A.","Khyber","Jamrud","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Jamrud","Khyber","KP18","KP18002"
"42","F.A.T.A.","Khyber","Landi Kotal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Landi Kotal","Khyber","KP18","KP18003"
"43","Kohat","Kohat","Kohat","3.3736263736263701E-3","-0.93600000000000005","1.5620000000000001","1.3146197327101501E-3","0.12047126665341","1.8953144969482501E-3","0.28833433274104903","7.3755685662726996E-5","1.2840990048271599E-4","Kohat","Kohat","KP19","KP19001"
"44","Kohat","Kohat","Lachi","-0.34275","-1.1080000000000001","0.69099999999999995","4.6029109943418502E-3","0.119999303038751","6.6430452104712604E-3","0.28807732141554598","2.92349947883433E-4","5.0955165763698395E-4","Lachi","Kohat","KP19","KP19002"
"45","Hazara","Kohistan","Dassu","-0.431523636363636","-1.077","0.56899999999999995","4.53148838053446E-3","0.120204822578435","6.5593026348807404E-3","0.28816733406510903","2.87602018844034E-4","5.02828910637395E-4","Dassu","Kohistan","KP20","KP20001"
"46","Hazara","Kohistan","Palas","-0.347459090909091","-1.1240000000000001","1.153","1.15325703340102E-3","0.119851118790798","1.6627123690175099E-3","0.28768574306957601","6.3028849929836994E-5","1.09736898767427E-4","Palas","Kohistan","KP20","KP20002"
"47","Hazara","Kohistan","Pattan","-0.38995833333333302","-0.61899999999999999","-0.02","4.5745004590538596E-3","0.119609678313921","6.5943679353025796E-3","0.28683675873117598","2.9046131348141498E-4","5.0564390816449799E-4","Pattan","Kohistan","KP20","KP20003"
"48","F.A.T.A.","Kurram","Central Kurram","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Central Kurram","Kurram","KP21","KP21001"
"49","F.A.T.A.","Kurram","Lower Kurram","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Lower Kurram","Kurram","KP21","KP21002"
"50","F.A.T.A.","Kurram","Upper Kurram","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Upper Kurram","Kurram","KP21","KP21003"
"51","Bannu","Lakki Marwat","Lakki Marwat","-0.33639950980392203","-1.006","0.73799999999999999","9.2191893797343404E-4","0.12004159338972201","1.3301750927802499E-3","0.28798537770314703","4.7650291198259698E-5","8.3041230998537606E-5","Lakki Marwat","Lakki Marwat","KP22","KP22001"
"52","Bannu","Lakki Marwat","Sarai Naurang","-0.26052205882352902","-1.02","1.2929999999999999","1.53756280007144E-3","0.120013034774917","2.2174881608637998E-3","0.28778921424826498","8.8576171881724294E-5","1.5427359069240801E-4","Sarai Naurang","Lakki Marwat","KP22","KP22002"
"53","Malakand","Lower Dir","Samar Bagh","-0.10592372881355901","-0.92","0.86099999999999999","4.5464431900111698E-3","0.121279761904762","6.5733512315059896E-3","0.28769841786898898","2.8859616300101802E-4","5.0395671402945499E-4","Samar Bagh","Lower Dir","KP23","KP23001"
"54","Malakand","Lower Dir","Timergara","-9.4431297709923701E-2","-0.81299999999999994","1.2010000000000001","7.0911382076786604E-4","0.12004820285996499","1.02236865914198E-3","0.28771775900164498","3.3503740941255E-5","5.8330923683482497E-5","Timergara","Lower Dir","KP23","KP23002"
"55","Malakand","Malakand PA","Sam Ranizai","0.15933846153846201","-0.80500000000000005","1.498","3.0728606220534801E-3","0.120563916759569","4.4265242569721704E-3","0.288446059924648","1.90637476061539E-4","3.31612186769435E-4","Sam Ranizai","Malakand PA","KP24","KP24001"
"56","Malakand","Malakand PA","Swat Ranizai","-0.19029530201342301","-0.96299999999999997","1.4019999999999999","4.5937992783985603E-3","0.12095092450993999","6.6267132822170997E-3","0.28875295942977902","2.9174423243254601E-4","5.0824055129837498E-4","Swat Ranizai","Malakand PA","KP24","KP24002"
"57","Hazara","Mansehra","Balakot","-0.16172677595628401","-1.06","1.2250000000000001","3.0689809397414902E-3","0.120505435287559","4.4264456504540702E-3","0.288163156723938","1.9037956816191499E-4","3.3160587633856899E-4","Balakot","Mansehra","KP25","KP25001"
"58","Hazara","Mansehra","Mansehra","-3.00679611650485E-2","-0.97799999999999998","1.252","1.1513259338184799E-3","0.120114702088345","1.6609837006115299E-3","0.28804518873462198","6.2900477089679704E-5","1.09598123475914E-4","Mansehra","Mansehra","KP25","KP25002"
"59","Hazara","Mansehra","Oghi","-6.6875000000000004E-2","-0.83","1.5569999999999999","3.0745878928445801E-3","0.120261984392419","4.4324717847254299E-3","0.28824477168218798","1.9075229906661799E-4","3.3208964670037401E-4","Oghi","Mansehra","KP25","KP25003"
"60","Mardan","Mardan","Katlang","0.13560869565217401","-1.0189999999999999","1.1279999999999999","4.6099450756041096E-3","0.12066081137599299","6.6457558157778304E-3","0.28837307084392799","2.9281754934619398E-4","5.0976926156859597E-4","Katlang","Mardan","KP26","KP26001"
"61","Mardan","Mardan","Mardan","0.15184579439252299","-0.874","1.105","2.30639987079574E-3","0.121207387349858","3.31954846235983E-3","0.28864357479515201","1.3968580873290499E-4","2.4274558397664199E-4","Mardan","Mardan","KP26","KP26002"
"62","Mardan","Mardan","Takht Bhai","0.305291262135922","-0.38100000000000001","1.401","4.6362179537641802E-3","0.121063266443701","6.6490509591225202E-3","0.28855444589336998","2.9456407967482602E-4","5.1003379146724603E-4","Takht Bhai","Mardan","KP26","KP26003"
"63","F.A.T.A.","Mohmand","Ambar Utman Khel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ambar Utman Khel","Mohmand","KP27","KP27001"
"64","F.A.T.A.","Mohmand","Halimzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Halimzai","Mohmand","KP27","KP27002"
"65","F.A.T.A.","Mohmand","Pindiali","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Pindiali","Mohmand","KP27","KP27003"
"66","F.A.T.A.","Mohmand","Prang Ghar","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Prang Ghar","Mohmand","KP27","KP27004"
"67","F.A.T.A.","Mohmand","Safi","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Safi","Mohmand","KP27","KP27005"
"68","F.A.T.A.","Mohmand","Upper Momand","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Upper Momand","Mohmand","KP27","KP27006"
"69","F.A.T.A.","Mohmand","Yaka Ghund","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yaka Ghund","Mohmand","KP27","KP27007"
"70","F.A.T.A.","North Waziristan","Data Khel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Data Khel","North Waziristan","KP28","KP28001"
"71","F.A.T.A.","North Waziristan","Dossali","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Dossali","North Waziristan","KP28","KP28002"
"72","F.A.T.A.","North Waziristan","Garyum","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Garyum","North Waziristan","KP28","KP28003"
"73","F.A.T.A.","North Waziristan","Ghulam Khan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ghulam Khan","North Waziristan","KP28","KP28004"
"74","F.A.T.A.","North Waziristan","Mir Ali","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Mir Ali","North Waziristan","KP28","KP28005"
"75","F.A.T.A.","North Waziristan","Miran Shah","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Miran Shah","North Waziristan","KP28","KP28006"
"76","F.A.T.A.","North Waziristan","Razmak","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Razmak","North Waziristan","KP28","KP28007"
"77","F.A.T.A.","North Waziristan","Shewa","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Shewa","North Waziristan","KP28","KP28008"
"78","F.A.T.A.","North Waziristan","Spinwam","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Spinwam","North Waziristan","KP28","KP28009"
"79","Peshawar","Nowshera","Nowshera","2.7460937499999998E-3","-0.82499999999999996","1.353","1.1613786164098199E-3","0.120412844036697","1.67352830145205E-3","0.28814781741335499","6.3568744758068596E-5","1.1060518800750999E-4","Nowshera","Nowshera","KP29","KP29001"
"80","Peshawar","Nowshera","Pabbi","0.18485185185185199","-0.75900000000000001","1.1140000000000001","3.0756026217045001E-3","0.12015918823310399","4.4347518514041701E-3","0.28796624361752898","1.90819754741569E-4","3.32272687540894E-4","Pabbi","Nowshera","KP29","KP29002"
"81","F.A.T.A.","Orakzai","Central Orakzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Central Orakzai","Orakzai","KP30","KP30001"
"82","F.A.T.A.","Orakzai","Ismailzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ismailzai","Orakzai","KP30","KP30002"
"83","F.A.T.A.","Orakzai","Lower Orakzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Lower Orakzai","Orakzai","KP30","KP30003"
"84","F.A.T.A.","Orakzai","Upper Orakzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Upper Orakzai","Orakzai","KP30","KP30004"
"85","Peshawar","Peshawar","Peshawar","0.38854480286738402","-0.73799999999999999","1.548","2.0512045218682199E-4","0.120131169822562","2.9576362906613598E-4","0.28781955124859798","0","0","Peshawar","Peshawar","KP31","KP31001"
"86","Malakand","Shangla","Alpuri","-0.122034188034188","-0.93","0.76100000000000001","0.32366269208374499","0.24342105263157901","0.49374278245951603","0.40877193463476102","2.1502343802542598E-2","3.9613296365752497E-2","Alpuri","Shangla","KP32","KP32001"
"87","Malakand","Shangla","Bisham","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Bisham","Shangla","KP32","KP32002"
"88","Malakand","Shangla","Chiksar","-0.154948275862069","-0.88100000000000001","0.86399999999999999","9.2209804920281406E-3","0.119938564646747","1.32970545943145E-2","0.28781532678265198","5.9934328101954803E-4","1.04372703145407E-3","Chiksar","Shangla","KP32","KP32003"
"89","Malakand","Shangla","Martung","-0.11741176470588199","-0.61099999999999999","0.56599999999999995","9.2025114268850204E-3","0.11994984675397","1.32693606383864E-2","0.28768459699402299","5.9811552126603303E-4","1.04150379604711E-3","Martung","Shangla","KP32","KP32004"
"90","Malakand","Shangla","Puran","-0.15843859649122799","-0.73299999999999998","0.78500000000000003","9.2026751476806702E-3","0.120716076901644","1.3269038542660601E-2","0.28824185526248097","5.9812640485987798E-4","1.0414779386136699E-3","Puran","Shangla","KP32","KP32005"
"91","F.A.T.A.","South Waziristan","Birmal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Birmal","South Waziristan","KP33","KP33001"
"92","F.A.T.A.","South Waziristan","Ladha","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ladha","South Waziristan","KP33","KP33002"
"93","F.A.T.A.","South Waziristan","Makin","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Makin","South Waziristan","KP33","KP33003"
"94","F.A.T.A.","South Waziristan","Sararogha","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Sararogha","South Waziristan","KP33","KP33004"
"95","F.A.T.A.","South Waziristan","Serwekai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Serwekai","South Waziristan","KP33","KP33005"
"96","F.A.T.A.","South Waziristan","Tiarza","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Tiarza","South Waziristan","KP33","KP33006"
"97","F.A.T.A.","South Waziristan","Toi Khulla","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Toi Khulla","South Waziristan","KP33","KP33007"
"98","F.A.T.A.","South Waziristan","Wana","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Wana","South Waziristan","KP33","KP33008"
"99","Mardan","Swabi","Lahor","3.7424528301886799E-2","-0.749","0.89300000000000002","1.5356031687553499E-3","0.120063798081401","2.2182074703394499E-3","0.28787526518003798","8.8445902350322905E-5","1.54331335938301E-4","Lahor","Swabi","KP34","KP34001"
"100","Mardan","Swabi","Swabi","2.8737588652482299E-2","-0.91800000000000004","0.99199999999999999","1.5418866923263799E-3","0.12041689931137201","2.2211657684045902E-3","0.28809945303555001","8.8863609326338795E-5","1.5456882432817999E-4","Swabi","Swabi","KP34","KP34002"
"101","Mardan","Swabi","Topi","-4.3499999999999997E-2","-0.76800000000000002","0.98499999999999999","3.0817908008939901E-3","0.120736524163569","4.4453428582911401E-3","0.28836741534833799","1.9123112355193001E-4","3.3312292004532702E-4","Topi","Swabi","KP34","KP34003"
"102","Malakand","Swat","Babuzai","3.88076923076923E-2","-0.74299999999999999","1.1140000000000001","2.3105131014234002E-3","0.120233938547486","3.3275500122262199E-3","0.28790736086042201","1.3995924211908001E-4","2.43387938179113E-4","Babuzai","Swat","KP35","KP35001"
"103","Malakand","Swat","Bahrain","-0.2476875","-0.877","1.0069999999999999","1.0739555256064699","0.22023809523809501","2.19189881448369","0.44444445201328803","7.1379223721019902E-2","0.17593909347220499","Bahrain","Swat","KP35","KP35002"
"104","Malakand","Swat","Barikot","-0.14977647058823501","-0.77400000000000002","0.84599999999999997","9.2191721354820694E-3","0.120432357043236","1.32919632135583E-2","0.28819154399957603","5.9922306771313205E-4","1.0433183019104501E-3","Barikot","Swat","KP35","KP35003"
"105","Malakand","Swat","Charbagh","-0.160142857142857","-0.92500000000000004","0.502","9.2254702776543608E-3","0.12004466778336099","1.33038712843172E-2","0.28796762103627699","5.9964174648334198E-4","1.04427426662016E-3","Charbagh","Swat","KP35","KP35004"
"106","Malakand","Swat","Kabal","-9.1176470588235303E-2","-0.98899999999999999","1.0449999999999999","1.3165999587195401E-3","0.12032407776272799","1.8967437171564E-3","0.287712803626192","7.3887324258311099E-5","1.2852463645540799E-4","Kabal","Swat","KP35","KP35005"
"107","Malakand","Swat","Kalam","-0.40643939393939399","-0.94499999999999995","1.4039999999999999","9.2369574820731493E-3","0.12014393515930701","1.33129105934676E-2","0.28777716187224001","6.00405376215356E-4","1.0449999308123699E-3","Kalam","Swat","KP35","KP35006"
"108","Malakand","Swat","Khwazakhela","-6.5611940298507504E-2","-0.68500000000000005","0.91700000000000004","4.56467670593853E-3","0.121474004424779","6.5888176640003203E-3","0.28853245355205298","2.8980826425504597E-4","5.0519833947400695E-4","Khwazakhela","Swat","KP35","KP35007"
"109","Malakand","Swat","Matta Khararai","-8.8833333333333306E-2","-0.84599999999999997","1.036","4.6116204423477403E-3","0.119904369677509","6.6452463406729799E-3","0.287938019969885","2.92928921949207E-4","5.0972836155795695E-4","Matta Khararai","Swat","KP35","KP35008"
"110","Malakand","Swat","Matta Sebujni","-0.198051282051282","-0.81399999999999995","0.60599999999999998","3.49931139730514","0.41447368421052599","4.0354599445883004","0.51754386252478501","0.232608517361374","0.32393782611893901","Matta Sebujni","Swat","KP35","KP35009"
"111","Dera Ismail Khan","Tank","Tank","-0.38673003802281403","-1.1459999999999999","0.72299999999999998","3.0545489381794901E-3","0.12026401111625799","4.4162351229341803E-3","0.28855952347605901","1.8942017847201E-4","3.3078618823171902E-4","Tank","Tank","KP36","KP36001"
"112","Hazara","Tor Ghar","Tor Ghar","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Tor Ghar","Tor Ghar","KP37","KP37001"
"113","Malakand","Upper Dir","Barawal","-0.23326315789473701","-0.83","0.80700000000000005","9.1563974643319394E-3","0.121081830790569","1.31959758478943E-2","0.28821082348301102","5.9505002407605502E-4","1.03561255880468E-3","Barawal","Upper Dir","KP38","KP38001"
"114","Malakand","Upper Dir","Dir","-0.210463768115942","-0.98499999999999999","1.284","4.5517323503416101E-3","0.120908460471567","6.5926948816887997E-3","0.28821082347267701","2.8894776813821797E-4","5.0550959755746403E-4","Dir","Upper Dir","KP38","KP38002"
"115","Malakand","Upper Dir","Kalkot","-0.44276315789473702","-0.82099999999999995","0.183","7.0101351351351404","0.3125","9.3468470347894197","0.41666667163372001","0.46599597111663199","0.75032919720484703","Kalkot","Upper Dir","KP38","KP38003"
"116","Malakand","Upper Dir","Wari","-0.199961290322581","-0.84299999999999997","1.1259999999999999","3.0389809422441002E-3","0.120182087069045","4.3810348583848803E-3","0.286856461396576","1.8838527179404699E-4","3.2796035595685999E-4","Wari","Upper Dir","KP38","KP38004"
