District_Name,District_Population,District_Area,Population_Density,Population_exposed_flooding,Population_share_exposed_flooding,Flooding_Exposure_Index,Population_exposed_drought_wetness,Population_share_exposed_drought_wetness,Drought_Wetness_Exposure_Index,Population_exposed_aerosol,Population_share_exposed_aerosol,Aerosol_Exposure_Index,Population_Exposed_Ozone,Population_Share_Exposed_Ozone,Ozone_Exposure_Index,Air_Quality_Exposure_Index,Population_exposed_landslides,Population_share_exposed_landslides,Landslide_Exposure_Index,Population_exposed_heatwaves,Population_share_exposed_heatwaves,Heatwave_Exposure_Index,Integrated_Exposure_Index,Normalized_Integrated_Exposure_Index
Abbottabad,1577962.48359954,1761.22646383462,895.945249518868,158881.445537567,10.0687720518638,33.155695175609,1422037.8078512,90.1186069143635,90.1186069143635,,0,0,,0,0,0,5197.66155385971,0.329390692610331,37.6008325919828,,0,0,32.1750269363911,60.1378097101517
Bajaur,867159.216565788,1362.02228423268,636.670358924649,114775.706634164,13.2358284893414,43.5845694518438,321511.742209673,37.0764371833533,37.0764371833533,,0,0,,0,0,0,1055.53312432766,0.121723105072664,13.8950194984047,,0,0,18.9112052267204,35.3466203326728
Bannu,1239765.74332409,1182.27430445885,1048.62783420769,115386.909996957,9.30715424412186,30.6477460688325,1239765.74332409,100,100,1239194.00373785,99.9538832566303,99.9538832566303,,0,0,49.9769416283152,,0,0,48165.8066116124,3.88507319797926,6.63240167742087,37.4514178749137,69.9998245841269
Batagram,567211.72982873,1359.29990504078,417.282255170696,37057.921276927,6.53334889391597,21.5138175029478,78474.7719806433,13.8351814417411,13.8351814417411,,0,0,1280.48142595589,0.2257501667574,0.409017405017971,0.204508702508985,4769.38978466392,0.840848228950419,95.9850845859583,,0,0,26.3077184466313,49.1713206325979
Buner,927461.746531844,1738.17903987119,533.582401615298,117284.567637265,12.6457579599201,41.6415123933637,555845.911038935,59.9319500903912,59.9319500903912,,0,0,,0,0,0,1753.75531965494,0.189091930337067,21.585351913723,561.050868988037,0.0604931546865446,0.103270872946281,24.6524170540848,46.0774242279513
Charsadda,1896179.63071984,989.842134834591,1915.6384275728,544544.213882089,28.717965590389,94.5660611119218,913997.550411105,48.2020551008729,48.2020551008729,,0,0,,0,0,0,,0,0,17935.1884604096,0.945859145929174,1.61472318959845,28.8765678804786,53.9727145438495
Chitral,583731.330979431,14649.7482269726,39.8458268316642,48730.4446258489,8.34809475518216,27.4896366283994,80189.0474315975,13.7373211228957,13.7373211228957,9346.27597407531,1.60112631925948,1.60112631925948,322180.532401392,55.1932910403853,100,50.8005631596297,2433.58544914703,0.416901632650721,47.5904415282573,,0,0,27.9235924878364,52.1915240281593
Dera Ismail Khan,1543045.39852659,7379.52313791938,209.098253327198,348577.451994061,22.5902265952064,74.387885938877,1528462.54561613,99.0549304042264,99.0549304042264,1211532.76879615,78.5156917581955,78.5156917581955,,0,0,39.2578458790977,207.574389114976,0.0134522541795065,1.53561095907105,351835.38794405,22.8013633480913,38.9253413799311,50.6323229122406,94.6360357832483
FR Bannu,44718.5140411779,821.091843814562,54.4622558098108,4602.64097658545,10.292472984114,33.8923252117227,44718.5140411779,100,100,29991.416782327,67.0671139803754,67.0671139803754,,0,0,33.5335569901877,0.332651853561401,0.000743879488605295,0.0849158423330031,26194.8399395496,58.5771698841082,100,53.5021596088487,100
FR Dera Ismail Khan,53771.8135483414,1662.11019985836,32.3515333417266,3463.74436433613,6.4415613604369,21.2115681854266,53199.6504260525,98.9359423003755,98.9359423003755,49205.5990543514,91.5081634918546,91.5081634918546,,0,0,45.7540817459273,189.155548349023,0.351774537377227,40.156008614642,17705.632171236,32.9273479967687,56.2119133818068,52.4539028456356,98.0407206533777
FR Kohat,160397.4830634,468.198429518011,342.584410692111,15861.6920412779,9.8889906115349,32.5636886624936,160397.4830634,100,100,,0,0,,0,0,0,,0,0,6011.4633268714,3.74785390148252,6.39814779187429,27.7923672908736,51.9462531869032
FR Lakki Marwat,12707.5898850039,182.883991559336,69.4844298653715,788.036077536643,6.20130240799318,20.4204138570335,12707.5898850039,100,100,973.722383603454,7.66252603692016,7.66252603692016,,0,0,3.83126301846008,23.5772991776466,0.185537142691944,21.179563352774,1938.19172398001,15.252236982146,26.0378523105875,34.293818507771,64.0980079280747
FR Peshawar,81358.0079103708,259.697149696934,313.280326739494,6226.23858088255,7.65288966728607,25.2003795213673,81358.0079103708,100,100,,0,0,,0,0,0,,0,0,75.5373408794403,0.092845612644126,0.158501362950474,25.0717761768636,46.8612414156025
FR Tank,37077.1081837639,1145.09882913203,32.378959126059,2631.21959682554,7.09661493497422,23.3686094342681,37077.1081837639,100,100,14762.2532710209,39.8150071409435,39.8150071409435,,0,0,19.9075035704717,65.2855463176966,0.176080469906456,20.1000587454446,9946.45944646001,26.8264164431669,45.7967097014784,41.8345762903326,78.1923133499336
Hangu,575581.172685467,1380.20041917156,417.027240892269,69105.8794653565,12.0062786527453,39.535756014077,575581.172685467,100,100,,0,0,,0,0,0,16.4933428764343,0.00286551118402327,0.327105800917018,,0,0,27.9725723629988,52.2830715012342
Haripur,1245191.43246353,1926.46055436089,646.362278036171,167666.326225519,13.4651043891141,44.3395574290095,1233957.77920443,99.0978372508656,99.0978372508656,,0,0,,0,0,0,571.191517233849,0.0458717834336352,5.23638733054388,,0,0,29.7347564020838,55.5767404894923
Karak,790468.583068848,2653.53203263203,297.892986912535,76917.4561137706,9.73061520233389,32.0421705703436,784987.508808404,99.306604414414,99.306604414414,292201.000662804,36.9655425808813,36.9655425808813,,0,0,18.4827712904406,426.477446138859,0.0539524853072768,6.15882116122884,17478.4362329245,2.21114875496603,3.77476200939833,31.9530258891651,59.7228712313146
Khyber,867198.378393635,2743.52707921557,316.088871498066,93903.462588951,10.8283715616367,35.6569981817595,862565.229278401,99.4657336509535,99.4657336509535,3516.82093572617,0.405538227855152,0.405538227855152,,0,0,0.202769113927576,257.3472879529,0.0296757113902358,3.38756219002303,142541.901823699,16.4370581605259,28.0605194703769,33.3547165214081,62.3427479661804
Kohat,1026494.45938346,2977.02191173096,344.805812593637,143082.331257463,13.938928744282,45.8998247392439,1023167.25975692,99.6758677461802,99.6758677461802,,0,0,,0,0,0,5.85621345043182,0.00057050609449458,0.0651248035632076,162690.986204356,15.8491830829825,27.0569286879842,34.5395491953943,64.5572990845809
Kohistan,860725.280115005,7677.71133082878,112.107012497185,32593.6133548878,3.7867614798688,12.4695155161475,606.136910974979,0.07042164613708,0.07042164613708,0.360689947381616,4.19053507215941e-05,4.19053507215941e-05,184030.914208919,21.3809119425805,38.7382443401246,19.3691431227376,7540.12282761931,0.876019678033838,100,3270.8485057503,0.380010739932405,0.648735233682741,26.511563103741,49.5523233035181
Kurram,717038.642354816,3397.6207002335,211.041403858158,84562.2371387631,11.7932608012664,38.8343045447002,701807.294906765,97.8757982417754,97.8757982417754,,0,0,10933.7570616603,1.52484906890832,2.76274351495471,1.38137175747735,428.990484923124,0.0598280845107989,6.82953659729181,,0,0,28.984202228249,54.1738921197777
Lakki Marwat,890755.717500843,3184.7702469078,279.69230068188,113011.572191775,12.6871565314054,41.7778347184497,889794.566778727,99.8920971593859,99.8920971593859,890323.620588012,99.9514909750966,99.9514909750966,,0,0,49.9757454875483,111.781856507063,0.0125491034534906,1.43251387704624,103308.512772061,11.5978500886763,19.7992666966022,42.5754915878065,79.5771458555571
Lower Dir,1348780.8057754,1596.64105879404,844.761443623497,256676.518796086,19.0302618258661,62.665194619601,391638.7169981,29.036498393299,29.036498393299,,0,0,,0,0,0,1890.04669117928,0.140130010976298,15.9962172642982,,0,0,21.5395820554396,40.2592759113171
Malakand PA,823804.510387242,944.009979951953,872.665043678003,162136.629656851,19.681444761772,64.8094901518905,368515.389485836,44.7333541925632,44.7333541925632,,0,0,,0,0,0,1024.23900347948,0.124330346649598,14.1926431297352,1521.39920932055,0.184679640635299,0.315275799429502,24.8101526547237,46.3722452254438
Mansehra,1788735.64877262,4306.25538628335,415.380763173093,183085.130229443,10.2354492881646,33.7045505485418,1379224.35194027,77.1061030111777,77.1061030111777,,0,0,45201.0374801233,2.52698253714231,4.5784233726764,2.2892116863382,7559.04224009812,0.422591356374259,48.2399387788565,,0,0,32.2679608049828,60.3115108640326
Mardan,2668962.09677899,1641.14333602104,1626.2821401389,496847.090115547,18.6157417040565,61.300211607563,2524185.90696108,94.5755621635606,94.5755621635606,,0,0,,0,0,0,242.164590358734,0.00907336191289446,1.03574864131579,88873.2333775759,3.32987993665521,5.68460364890145,32.5192252122682,60.781145004266
Mohmand,571034.363065049,2261.04839124148,252.552915398467,77547.4032271951,13.5801640396834,44.7184400456422,480419.344571054,84.1314245945523,84.1314245945523,7587.31318610907,1.32869642824713,1.32869642824713,,0,0,0.664348214123566,1156.86864952743,0.202591774568153,23.1263954050501,116768.565649599,20.4486057586516,34.9088318863954,37.5098880291527,70.1091101805711
North Waziristan,562567.97533948,4925.37916414146,114.218206678417,70299.81148009,12.4962341551113,41.1491419565118,552753.505615942,98.2554162067944,98.2554162067944,118204.470791616,21.0115889942518,21.0115889942518,11990.1722969636,2.13132862561688,3.86157191470494,12.4365804544784,410.529699094594,0.0729742390413995,8.33020545898979,1816.67035487294,0.32292459480593,0.551280636201475,32.1445249425952,60.0807989389625
Nowshera,1613299.41234222,1736.83904718943,928.870994092908,488330.070379853,30.2690292108199,99.6735948143524,1606195.76782551,99.5596821977147,99.5596821977147,,0,0,,0,0,0,,0,0,276435.771524251,17.1348089145409,29.2516844846571,45.6969922993448,85.41149111257
Orakzai,340336.361126281,1375.71691385056,247.388367257692,26955.4205518663,7.92022940559811,26.080708803443,340336.361126281,100,100,,0,0,,0,0,0,,0,0,,0,0,25.2161417606886,47.131072736208
Peshawar,3637028.82994866,1284.934485759,2830.51694094762,1104498.4591893,30.3681524351537,100,3637001.12242246,99.9992381823873,99.9992381823873,414147.848183632,11.3869828243698,11.3869828243698,,0,0,5.69349141218489,,0,0,1190442.47765899,32.7311806784823,55.8770263965282,52.3139511982201,97.7791393481767
Shangla,802627.06190899,1391.68352536839,576.731022016322,50303.1385204196,6.2673115457604,20.6377768919042,136746.464829326,17.0373603531488,17.0373603531488,,0,0,8817.39215883613,1.09856651704026,1.99039864507523,0.995199322537613,5447.21768271923,0.678673563505748,77.4724107829383,,0,0,23.2285494701058,43.4160969200653
South Waziristan,642023.069454443,6239.66665431759,102.89380908036,60404.5162682645,9.40846507580998,30.9813548779441,638146.36581986,99.3961737795689,99.3961737795689,108900.345330186,16.9620611020604,16.9620611020604,53543.8199094236,8.33985918215093,15.1102770372011,16.0361690696308,830.158765453845,0.129303572558424,14.7603502296474,13887.6083912477,2.16310114884947,3.69273755138572,32.9733571016354,61.6299553937668
Swabi,1876440.7008968,1483.77234030747,1264.64191973545,395098.92181462,21.0557637992926,69.3350174800848,1871958.2736389,99.7611207614633,99.7611207614633,,0,0,,0,0,0,242.673194169998,0.0129326332590216,1.47629483484298,6149.6831445694,0.327731280910199,0.559486369106937,34.2263838890996,63.9719669997002
Swat,2314045.15534466,5375.8221118029,430.454190488196,427647.467731468,18.4805152459427,60.85492123831,1212379.42157915,52.3922110499427,52.3922110499427,695.299899702892,0.0300469460631304,0.0300469460631304,122363.473519028,5.2878602319583,9.58062136227597,4.80533415416955,6579.99980948865,0.284350536301812,32.4593777322464,,0,0,30.1023688349337,56.2638387964345
Tank,435322.175169609,1673.97435859217,260.053072459079,72552.9012721926,16.6664841376217,54.8814557395623,435322.175169609,100,100,435322.175169609,100,100,,0,0,50,13.2800033688545,0.00305061495286345,0.348235893480193,67086.5904427692,15.4107909657097,26.3085277014905,46.3076438669066,86.5528498390704
Tor Ghar,315574.061657071,467.916197954724,674.424315799399,15307.8862930536,4.85080624582145,15.9733334327123,201525.535211802,63.8599808088143,63.8599808088143,,0,0,,0,0,0,2269.04426789284,0.719021156548211,82.0781969375393,,0,0,32.3823022358132,60.5252245377727
Upper Dir,1060092.3145569,3751.80107358442,282.555576312606,78890.3201475143,7.44183492929944,24.5053924343613,357276.651301622,33.7024093463933,33.7024093463933,146.907649420202,0.0138580053267914,0.0138580053267914,55906.6364387013,5.27375169794239,9.55505931705277,4.78445866118978,2918.95450994372,0.275349087042838,31.4318381135957,,0,0,18.884819711108,35.2973036026468
